STRANGE
trial	       x	       y	       z	class
00001	 4.23169	 4.68996	-8.86438	STRANGE
00002	 5.43040	-3.59577	-4.71896	UP
00003	 0.37792	 3.34626	-0.22265	CHARM
00004	 5.35208	 3.96738	 1.77813	UP
00005	 0.90207	-0.38525	 4.66088	CHARM
00006	-4.67474	-4.18064	 1.65754	UP
00007	 4.27666	 4.56251	-8.56897	STRANGE
00008	 4.17155	 4.33587	-8.61905	STRANGE
00009	 2.52960	-3.98237	 8.60114	DOWN
00010	 0.41158	 5.61738	 4.29349	UP
00011	-5.69580	-5.07775	-2.78260	DOWN
00012	 3.40163	 0.97788	-0.47404	DOWN
00013	-2.60912	-9.01196	13.26539	DOWN
00014	-5.67483	-6.96883	 4.97008	CHARM
00015	 4.10638	 6.54711	 3.53305	CHARM
00016	 2.78043	-5.70548	-8.71274	DOWN
00017	 4.19631	 4.38015	-8.95100	STRANGE
00018	 0.75371	-5.92938	-0.44991	CHARM
00019	-8.90213	-3.71282	-3.55767	UP
00020	 5.41666	-1.91967	-4.86102	CHARM
00021	 6.15819	 9.79983	 0.59120	DOWN
00022	 2.22492	-4.57735	 4.16059	UP
00023	 0.65738	-7.78817	 0.71629	DOWN
00024	 3.95223	 4.36784	-8.91822	STRANGE
00025	 4.18096	 4.38350	-9.18321	STRANGE
00026	 3.86806	 3.97235	-9.66056	STRANGE
00027	 3.78404	 3.73793	-9.94878	STRANGE
00028	 5.63909	 0.10369	 3.72942	UP
00029	-3.51616	 4.29096	-0.59859	CHARM
00030	-7.22435	 7.61738	 3.24224	CHARM
00031	 3.82480	 3.75497	-9.93303	STRANGE
00032	 1.07818	-1.93482	 4.54298	CHARM
00033	 1.62245	-0.58399	 5.12767	UP
00034	-5.56285	-6.58400	 1.06379	DOWN
00035	 0.15902	 8.25633	-1.56294	UP
00036	 5.48813	 1.72499	-8.43091	CHARM
00037	 0.29539	-3.26593	-9.48689	DOWN
00038	 3.64528	 3.97216	-9.85953	STRANGE
00039	 4.10471	-7.47958	-1.22675	UP
00040	-2.71664	-5.32054	 0.79178	UP
00041	 3.43276	 4.33370	-9.79354	STRANGE
00042	-3.38317	-3.10390	-8.55260	CHARM
00043	13.08168	 5.04490	-3.23893	UP
00044	 3.37074	 4.14367	-9.98069	STRANGE
00045	 1.46573	-7.12714	 1.16234	UP
00046	 1.42436	 6.44443	 4.07593	DOWN
00047	 3.46295	 3.90205	-10.02516	STRANGE
00048	 3.85542	 3.85364	-9.68408	STRANGE
00049	 0.54495	-0.07792	-1.32913	DOWN
00050	 3.48036	 3.77369	-9.33934	STRANGE
00051	 3.87479	 2.38507	-10.44607	UP
00052	-4.10544	 4.45502	-2.30644	CHARM
00053	-1.90965	 6.96961	-1.29660	DOWN
00054	 3.41875	 4.00725	-9.66105	STRANGE
00055	 3.52662	 4.01341	-9.53415	STRANGE
00056	 3.73378	 4.28898	-9.91754	STRANGE
00057	-0.05418	 1.20180	 4.94666	CHARM
00058	-0.13141	 5.67493	 2.98355	DOWN
00059	 3.56515	 4.79423	-9.64444	STRANGE
00060	-8.76830	 4.86938	-5.24816	DOWN
00061	 3.60291	 4.64459	-10.34277	STRANGE
00062	-3.05287	-0.25531	-6.19899	UP
00063	 3.74236	 4.83210	-10.29987	STRANGE
00064	 2.41501	-0.46848	-11.23706	CHARM
00065	 4.17787	 4.48656	-10.33581	STRANGE
00066	10.63385	-0.71460	-3.65835	DOWN
00067	 5.05703	-4.64378	 1.36514	DOWN
00068	10.73832	-1.71329	-3.16790	DOWN
00069	 2.74207	-3.73747	 4.36549	DOWN
00070	 0.13317	-1.77686	-0.02775	CHARM
00071	-4.15582	 0.50056	-6.31224	DOWN
00072	 4.58352	 1.19744	 5.32474	UP
00073	-4.58030	-4.75029	-0.84061	UP
00074	-3.77331	 3.47229	-7.22714	DOWN
00075	 9.39114	 0.03905	 5.46569	UP
00076	 2.04993	 0.33939	-4.34407	UP
00077	 4.45902	 4.64659	-10.26502	STRANGE
00078	 0.83652	 2.25218	 1.85276	DOWN
00079	-0.89957	-4.99080	-3.83753	UP
00080	-6.14940	 4.13801	-3.95058	CHARM
00081	 4.27996	 4.41913	-9.96269	STRANGE
00082	 4.12883	 4.06309	-9.82827	STRANGE
00083	-1.41290	 3.66702	 5.35768	UP
00084	 2.18566	-3.82730	 7.29788	UP
00085	-1.30733	 6.59716	-9.63862	DOWN
00086	-9.53399	-3.23356	 0.60518	UP
00087	-2.34469	-2.06431	-7.81129	UP
00088	 1.81587	 1.56102	-0.30039	DOWN
00089	 0.11993	 1.92053	-2.56727	DOWN
00090	-4.86509	-4.65820	-6.85066	UP
00091	 9.83202	-1.63305	 8.17221	CHARM
00092	 4.03801	 4.27339	-9.76886	STRANGE
00093	 4.11113	 4.20940	-9.47448	STRANGE
00094	 2.51240	-10.44813	 0.24109	CHARM
00095	-4.61283	-8.34274	 1.05357	CHARM
00096	 4.13406	 4.24147	-9.60406	STRANGE
00097	 4.04390	 4.08683	-9.56433	STRANGE
00098	 4.37048	 3.89142	-9.39878	STRANGE
00099	 6.93064	-3.93918	-1.20584	DOWN
00100	 1.23536	 5.25495	 2.87653	CHARM
