STRANGE
trial	       x	       y	       z	class
00001	-5.93491	-5.48750	 0.40672	CHARM
00002	 1.59720	 0.89818	 4.69880	CHARM
00003	-5.90949	 1.59899	 2.49294	UP
00004	 0.01675	-6.40759	 1.15066	CHARM
00005	-0.10389	 0.16843	-4.99653	CHARM
00006	-2.12475	-7.58985	12.12290	STRANGE
00007	-0.38624	 7.74748	-7.67841	DOWN
00008	 2.29140	-1.53322	-7.19777	CHARM
00009	-5.45063	-11.66333	-4.96639	DOWN
00010	-5.13033	-4.34144	-12.08050	DOWN
00011	 1.30644	 1.00290	-1.78305	CHARM
00012	-10.59115	 3.11152	-3.73729	DOWN
00013	-5.19974	-2.54083	 0.36762	DOWN
00014	 3.45148	 1.87356	 3.13954	UP
00015	-1.91732	-7.52399	11.80151	STRANGE
00016	-2.18048	-7.64235	11.59202	STRANGE
00017	 4.51490	 3.17007	-5.43130	CHARM
00018	-2.10829	-7.90622	11.44327	STRANGE
00019	 0.91625	 6.41149	 1.24387	DOWN
00020	-2.37003	-7.41889	11.90914	STRANGE
00021	-2.51053	-7.19637	12.20443	STRANGE
00022	-2.60045	 1.19657	-4.68491	UP
00023	 1.60377	-0.02023	-10.49821	CHARM
00024	-0.61557	 1.07466	 1.21171	UP
00025	-2.57190	-7.69754	12.25949	STRANGE
00026	10.56897	 3.63257	 5.24395	UP
00027	-8.16292	10.50331	 2.12386	CHARM
00028	-2.86883	-7.42157	12.59391	STRANGE
00029	-2.80259	-7.65886	12.94420	STRANGE
00030	 5.28230	 0.00790	 4.66446	DOWN
00031	-2.99646	-7.81716	13.10342	STRANGE
00032	 7.66254	-2.41506	-3.72472	CHARM
00033	-3.22520	-2.84273	 2.57772	UP
00034	 2.13905	-9.33044	-2.72452	UP
00035	-2.17881	 7.37062	 6.59277	UP
00036	-3.08412	-8.37976	13.03293	STRANGE
00037	 9.66076	-13.54138	-3.91475	CHARM
00038	-1.52968	-2.16298	-1.46876	DOWN
00039	-3.08523	-8.25391	12.67209	STRANGE
00040	 9.79942	-3.48420	-3.75084	UP
00041	 5.65815	-4.93038	 9.37780	CHARM
00042	-2.63953	 0.54628	-0.74331	DOWN
00043	 6.23597	10.66444	 1.91368	UP
00044	-2.85231	-8.23920	12.39674	STRANGE
00045	-3.04141	-8.28689	12.37937	STRANGE
00046	-3.05884	-8.47935	12.26405	STRANGE
00047	10.59789	 6.00662	-4.16176	DOWN
00048	-4.58778	-3.95881	 2.26918	UP
00049	-9.44130	 0.71184	-3.03402	DOWN
00050	-3.29343	-8.35081	12.66984	STRANGE
00051	 3.13755	 1.13837	-0.81402	CHARM
00052	-3.07994	-8.36204	12.75605	STRANGE
00053	10.34223	 3.01172	 2.43457	DOWN
00054	 4.88403	-0.38936	-0.71786	CHARM
00055	-3.27386	-8.19391	12.68224	STRANGE
00056	-3.50491	-8.22810	12.66899	STRANGE
00057	-7.65563	 5.34870	 2.83398	DOWN
00058	 2.81191	 4.21770	-0.34925	UP
00059	 8.98069	 2.10410	 3.08803	UP
00060	 0.09815	-5.64586	-1.72863	UP
00061	-0.57229	 6.98829	 8.88729	UP
00062	-3.60682	-8.63698	12.44495	STRANGE
00063	 2.47448	-8.28350	15.68520	UP
00064	-3.57254	 4.13235	 9.67387	CHARM
00065	-4.26470	-1.08219	 0.09987	CHARM
00066	-3.81703	-8.85643	12.31459	STRANGE
00067	 8.54061	 3.93482	-1.60843	DOWN
00068	-3.97301	-8.92993	11.97878	STRANGE
00069	 7.58831	-0.51982	 0.41891	DOWN
00070	 1.33504	-3.01715	 6.06118	DOWN
00071	-5.85352	 7.32503	 5.97757	CHARM
00072	-1.94023	-5.12927	-3.70509	CHARM
00073	 8.15512	 0.78998	-9.43739	DOWN
00074	 4.75612	-0.81746	 0.62797	DOWN
00075	-4.50157	-3.38954	-2.90919	CHARM
00076	 5.94446	-6.92341	-3.15119	DOWN
00077	-4.20352	-9.18656	12.14398	STRANGE
00078	-4.30425	-9.12245	12.15598	STRANGE
00079	 4.81538	-1.26717	 3.17943	UP
00080	 8.92624	 0.65511	-2.82712	DOWN
00081	-0.97792	-0.64691	-2.49896	CHARM
00082	-6.78181	-2.06613	-3.81277	CHARM
00083	-4.29524	-9.24377	12.13831	STRANGE
00084	-2.05646	-6.96437	 7.84420	UP
00085	 2.88684	 1.23673	-1.75252	UP
00086	-2.49581	 7.00423	-0.70176	CHARM
00087	-6.98235	 0.59810	-1.05680	CHARM
00088	 0.91335	-1.44951	-1.95502	DOWN
00089	-1.49351	 1.04943	-4.99278	DOWN
00090	 5.25194	 0.35476	 2.45151	DOWN
00091	 1.94712	-0.79674	 4.35866	CHARM
00092	-4.50225	-9.05781	11.65332	STRANGE
00093	-0.78200	-1.93690	-6.56910	DOWN
00094	-2.62858	 1.26310	-1.78118	DOWN
00095	-4.19863	-8.94769	11.12163	STRANGE
00096	 3.17338	-2.96448	-0.46168	UP
00097	-4.31190	-9.19714	11.01937	STRANGE
00098	 0.27075	 6.30486	-3.22617	DOWN
00099	-7.34033	 4.70714	-8.56675	CHARM
00100	-2.89776	-1.84150	 0.19725	UP
00101	-3.82782	 9.38182	 7.69776	CHARM
00102	-4.13570	-9.30816	11.24968	STRANGE
00103	11.58490	-3.09333	-0.91177	UP
00104	-8.19880	-8.51966	 8.15313	UP
00105	 7.58840	 3.72230	 3.09841	CHARM
00106	-1.41881	-0.97753	-3.83539	DOWN
00107	 2.81533	-0.26198	 2.84958	UP
00108	-5.79715	 3.99456	 6.35916	UP
00109	-4.08388	-9.26240	11.26603	STRANGE
00110	-3.99650	-9.30299	11.10080	STRANGE
00111	-3.36378	-8.88323	10.58480	STRANGE
00112	 3.98146	 1.58990	 3.00509	CHARM
00113	 9.65163	 4.59940	 7.86209	DOWN
00114	 3.63612	-0.22815	-3.96791	DOWN
00115	-2.72679	 0.96519	-3.02814	UP
00116	 2.00810	-2.39428	 3.47848	UP
00117	 3.15056	 0.17294	 4.45339	CHARM
00118	-1.67048	-0.32768	 5.33461	CHARM
00119	-3.43516	-8.91468	11.09054	STRANGE
00120	-3.69859	-9.05975	11.20201	STRANGE
00121	11.40724	 7.89190	-2.83003	UP
00122	-3.89379	-8.93314	11.37382	STRANGE
00123	-3.91863	-8.71054	11.14902	STRANGE
00124	-8.10711	-7.40538	 8.65654	UP
00125	 1.38675	 5.17606	-4.66023	CHARM
00126	-3.01632	 7.37245	-0.22813	CHARM
00127	-3.77586	-8.59503	11.36378	STRANGE
00128	 0.02577	-1.13570	-0.73877	UP
00129	-1.30698	-0.43487	-5.98873	UP
00130	 0.17983	-6.21906	 4.48021	DOWN
00131	 6.10351	-4.14805	 5.28567	CHARM
00132	-3.99286	-8.50728	11.55489	STRANGE
00133	-0.12392	 3.93513	-9.74274	DOWN
00134	-4.35248	-8.71541	11.65625	STRANGE
00135	-4.54377	-8.53936	11.78737	STRANGE
00136	-3.14625	 0.05221	 3.08302	CHARM
00137	-4.43735	-8.16200	11.11064	STRANGE
00138	 5.68508	-5.83650	 2.60520	DOWN
00139	-2.78198	-1.49230	-1.15047	UP
00140	 0.72745	 4.30436	 1.55177	UP
00141	 3.75443	 7.71173	 2.03449	DOWN
00142	 4.98709	 0.58860	-1.87470	UP
00143	-8.74374	-0.62099	 2.65964	CHARM
00144	 4.44171	15.14211	 0.73172	DOWN
00145	-3.09146	 2.38073	-4.00843	CHARM
00146	-4.54125	-8.52240	11.10557	STRANGE
00147	 0.82526	-3.76556	-0.04781	CHARM
00148	-0.18858	11.21065	 1.54163	UP
00149	 5.55536	-1.62995	 0.21133	CHARM
00150	-4.19195	-8.06089	11.42044	STRANGE
00151	 1.60065	 0.33476	-3.18593	DOWN
00152	-3.90774	-8.17347	11.61520	STRANGE
00153	-0.44743	-8.74076	 4.13122	DOWN
00154	-1.01857	 6.71125	 1.01571	UP
00155	-5.87259	 3.76312	 7.16966	DOWN
00156	 6.49204	-0.97295	11.14376	UP
00157	 0.84023	 4.31725	-6.27908	UP
00158	 3.34157	 4.78449	 6.89487	DOWN
00159	-6.78919	-2.66343	 2.74227	DOWN
00160	-0.62701	-2.31518	 4.84171	DOWN
00161	-1.06704	 8.64609	 9.53575	UP
00162	 3.19968	-1.96413	 0.93375	CHARM
00163	-1.87265	-3.70962	 0.77430	DOWN
00164	-4.07864	-0.73577	 1.27554	DOWN
00165	-3.48776	-8.63303	11.89117	STRANGE
00166	-3.79729	-8.54886	11.50087	STRANGE
00167	-5.40841	 1.14039	-8.08489	UP
00168	 4.73434	-1.84012	-1.91093	UP
00169	-1.27487	 6.09880	-4.46262	UP
00170	-3.80737	-8.71452	11.24413	STRANGE
00171	-6.54920	-3.43060	 8.24040	CHARM
00172	-3.99937	-9.13079	11.21178	STRANGE
00173	-4.21254	-9.44734	11.22950	STRANGE
00174	 2.22568	 2.86921	-1.45096	CHARM
00175	-4.32240	-9.23079	11.53293	STRANGE
00176	-4.09017	-9.46327	11.22136	STRANGE
00177	-4.54397	-9.36436	11.35388	STRANGE
00178	-1.51126	 0.42263	 6.63048	UP
00179	 0.98767	-0.94618	 5.64435	DOWN
00180	-4.89804	 2.55139	 0.95702	CHARM
00181	-4.10623	-9.38653	11.54402	STRANGE
00182	 4.55175	 1.31889	 5.95418	UP
00183	-2.34414	-2.47078	 0.86595	CHARM
00184	-0.64437	-2.84614	 1.33261	CHARM
00185	 2.95726	-2.46922	 3.03277	DOWN
00186	-3.60299	-9.20641	11.55779	STRANGE
00187	 2.72909	 2.30433	-7.34403	CHARM
00188	 0.31948	-0.26942	-5.24437	UP
00189	-2.20786	 0.23557	-12.85249	UP
00190	-3.75569	 7.55019	 1.69181	DOWN
00191	-0.74764	 0.03601	-3.86173	DOWN
00192	-3.79961	 2.42849	 0.63641	CHARM
00193	 1.21265	 1.22091	-3.76419	CHARM
00194	 1.49752	-5.39304	 5.85017	UP
00195	-0.50117	-5.16399	-3.04342	CHARM
00196	-3.63567	-9.18203	12.14884	STRANGE
00197	 1.71263	-3.55414	-5.30425	CHARM
00198	 2.83385	 1.35559	-5.57360	CHARM
00199	 3.25479	-5.50646	 4.41322	DOWN
00200	 1.35082	-6.17556	 8.93734	CHARM
00201	-3.21160	-9.08183	12.26796	STRANGE
00202	-2.94669	-9.45810	12.64888	STRANGE
00203	-1.31659	-6.31328	 2.57720	CHARM
00204	10.88882	 5.95033	-0.05925	DOWN
00205	-2.86136	-8.46969	-0.87335	DOWN
00206	-3.03355	-9.66920	12.92735	STRANGE
00207	 2.49786	 4.10201	-2.55804	CHARM
00208	 6.46864	 0.69970	-1.40271	CHARM
00209	 7.74397	 0.98624	-6.87303	UP
00210	-6.68615	-1.04306	-1.91881	CHARM
00211	-3.19257	-10.08282	12.99861	STRANGE
00212	-3.38605	-10.00918	13.05129	STRANGE
00213	-2.54930	 0.57210	-2.19871	DOWN
00214	-3.28504	-9.92938	12.71207	STRANGE
00215	-3.09551	-10.23795	12.64436	STRANGE
00216	-3.21027	-4.43868	 8.19041	DOWN
00217	 4.14966	 7.42703	 0.78258	CHARM
00218	 1.39828	-6.55433	-1.85077	UP
00219	-7.01809	-5.58259	12.85876	CHARM
00220	-7.34361	-3.80895	-1.22070	CHARM
00221	-2.86045	-0.44882	-4.13901	DOWN
00222	-3.42755	-9.97561	12.74423	STRANGE
00223	-6.92185	-2.09736	 4.06752	UP
00224	 6.21392	 0.98307	-3.37385	UP
00225	-1.96166	-2.67232	 2.35921	DOWN
