Trial      Feature-1      Feature-2      Feature-3
    1    5.42051e+00    5.36301e+00   -3.55370e+00
    2    2.74134e+00   -7.86028e+00    3.00000e-03
    3    1.38468e+00   -4.70466e+00   -1.12174e+00
    4   -2.15856e+00    5.14000e+00    1.98204e+00
    5   -1.00543e+01   -5.76500e-02    5.44628e+00
    6   -1.33445e+00    4.86306e+00    1.75250e+00
    7    9.00885e+00    1.93980e+00   -9.76146e+00
    8    1.02510e+01    6.89800e+00    9.69534e+00
    9    7.00427e-01   -5.64744e+00   -6.42990e+00
   10   -2.93700e-01    1.81708e+00    7.92900e-02
   11   -3.32976e+00    1.37260e+00    2.13903e-01
   12   -2.10026e+00   -2.26400e+00   -9.95885e+00
   13   -1.47410e+00   -4.12843e+00    3.75470e+00
   14    7.24277e+00    3.63554e-01    9.28690e+00
   15    1.59400e+00    1.02735e+01    1.39660e+00
   16   -4.43544e+00    1.45538e+01   -3.44997e+00
   17    5.02377e+00   -3.22100e+00   -6.87031e+00
   18    5.53683e+00    3.37600e+00   -1.06630e+01
   19   -2.13107e+00    1.67370e+00    4.07370e+00
   20   -4.57049e+00   -3.85476e+00    7.16200e-01
   21    5.35501e+00    5.83199e-01   -5.59650e+00
   22    1.58100e-01    3.27110e-02    1.08504e+01
   23   -7.91630e+00   -2.34618e+00   -1.20007e+00
   24    8.24913e+00   -4.96448e+00   -5.05633e+00
   25   -6.10422e-01   -3.20170e+00    1.56884e+00
   26    4.38416e+00   -4.61062e+00   -7.04884e+00
   27   -3.49430e+00   -4.40359e+00    6.89623e+00
   28   -1.10931e+00   -4.74625e+00   -3.05000e-01
   29    7.36366e+00    9.09994e+00    1.57243e+00
   30    7.26480e+00   -1.02341e+00   -5.01274e+00
   31    8.64872e+00   -6.41046e-01    7.13000e+00
   32    7.83118e+00    1.89556e+00    5.39752e-01
   33   -6.68326e+00    5.60006e+00   -3.31410e+00
   34   -2.10190e+00    6.77365e+00    4.68561e+00
   35    5.11442e+00    5.08774e+00   -7.56500e+00
   36    3.58290e+00   -4.91050e+00    5.87300e+00
   37   -6.57000e+00    5.58862e+00    2.96600e+00
   38   -6.73184e+00    1.94321e+00    2.97025e+00
   39    2.15000e-01    4.49941e+00    6.86090e+00
   40    2.42110e+00   -2.48765e-01   -1.98443e-01
   41    5.44230e+00   -1.55900e+00    3.41976e+00
   42   -5.90902e-01   -2.70767e+00   -9.08164e+00
   43   -1.82567e+00    5.43075e+00    1.10499e+01
   44    1.56124e+00   -3.01200e+00    4.50100e+00
   45    3.55502e+00   -1.39111e-01   -2.83780e+00
   46    4.81400e+00    2.80626e+00   -5.16955e+00
   47   -1.40280e+00   -2.49384e+00    6.84214e+00
   48   -2.92200e+00   -2.43028e+00    2.93219e+00
   49    6.94320e+00   -6.75719e+00    8.74603e+00
   50    1.41351e+00    1.22733e+00   -5.18836e+00

        Number of Trials:        50
    Minimum of Feature 1: -10.05430
    Maximum of Feature 2:  14.55377
    Average of Feature 3:   0.36843
